id,name,website,hq_or_states,source_of_name,source_url,source_type,notes,ce_verified_partner,fee_schedule_published,transparency_gate,all_in_eligible,grade_status,nr_flag,exit_flag,grade_v1,grade_v2_score,graded_as_of,grade_notes
tbs-factoring,TBS Factoring Service,https://tbsfactoring.com/,OK Oklahoma City,Seed + company site,https://tbsfactoring.com/,primary,Acquired by Love's Financial (late 2025 per listicles); still marketed as TBS,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
trucksmarter,TruckSmarter,https://www.trucksmarter.com/,,Seed + company site,https://www.trucksmarter.com/,primary,Factoring/banking powered by OTR Solutions post-acquisition; brand still distinct in market,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
basicblock,BasicBlock,https://basicblock.io/,NE Lincoln,Seed + company site,https://basicblock.io/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
haulpay,HaulPay,https://haulpay.io/,,Seed + company site,https://haulpay.io/,primary,aka ComFreight / Haulpay; comfreight.com redirects to haulpay.io; Dakota Financial ownership noted in listicles,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
england-carrier-services,England Carrier Services,https://www.englandlogistics.com/,UT Salt Lake City,Seed (England Logistics factoring) + ATS listicle,https://www.englandlogistics.com/,listicle,Division of England Logistics / C.R. England; factoring under ECS,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
loves-financial,Love's Financial,https://www.lovesfinancial.com/,OK Oklahoma City,ATS listicle + company site,https://www.lovesfinancial.com/,primary,"Acquired TBS, Saint John Capital, Vero/Foley factoring books per public coverage",N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
ecapital,eCapital,https://ecapital.com/,FL Aventura,ATS + company site,https://ecapital.com/,primary,Transportation/freight factoring arm; TAFS brand redirects here,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
firstline-funding-group,FirstLine Funding Group,https://www.bankeasy.com/firstline-funding-group,SD Madison,IFA ally listing + ATS,https://www.factoring.org/vendor_details.asp?ID=3757,association,Division of First Bank & Trust; firstlinefundinggroup.com redirects to bankeasy,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
saint-john-capital,Saint John Capital,https://www.saintjohncapital.com/,IL Chicago,ATS + TruckingWay,https://www.saintjohncapital.com/,primary,Acquired by Love's Financial per listicles; brand still listed,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
scale-funding,Scale Funding,https://getscalefunding.com/,MN,TruckingWay + company site,https://getscalefunding.com/,primary,Formerly TCI Business Capital; division of Scale Bank,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
acs-factors,ACS Factors,https://acsfactors.com/,CA Upland,TruckingWay + company site,https://acsfactors.com/,primary,Advanced Capital Solutions,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
sound-finance,Sound Finance,https://www.soundfinance.com/,CA / WA roots,TruckingWay,https://www.soundfinance.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
altline,altLINE,https://altline.sobanco.com/,,NerdWallet + Small Fleet HQ + company,https://altline.sobanco.com/,primary,Factoring division of The Southern Bank Company,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
transportation-management-group,Transportation Management Group,https://tmanagementgroup.com/,,NerdWallet,https://tmanagementgroup.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
single-point-capital,Single Point Capital,https://singlepointcapital.com/,,NerdWallet + InvoiceFactoringIndex,https://singlepointcapital.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
wex-capital,WEX Capital,https://www.wexinc.com/,TN Nashville (WEX Capital),ATS listicle,https://www.atsinc.com/blog/carriers/top-factoring-companies-for-trucking,listicle,Factoring division of WEX Inc / Fleet One ecosystem; confirm freight-factoring product page in Phase 2,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
truckstop-factoring,Truckstop Factoring,https://truckstop.com/carriers/transportation-factoring/,ID New Plymouth,ATS + Truckstop,https://truckstop.com/carriers/transportation-factoring/,primary,aka Truckstop Go Capital; absorbed D&S Factors (2018),N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
compass-funding-solutions,Compass Funding Solutions,https://compassfundingsolutions.com/,IL Clarendon Hills,ATS listicle + site,https://compassfundingsolutions.com/,primary,compassfunding.com DNS unreliable; use compassfundingsolutions.com,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
phoenix-capital-group,Phoenix Capital Group,https://pcgfactoring.com/,AZ Scottsdale/Phoenix,ATS + InvoiceFactoringIndex,https://pcgfactoring.com/,primary,phoenixcapitalgroup.com redirects to pcgfactoring.com,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
1st-commercial-credit,1st Commercial Credit,https://www.1stcommercialcredit.com/,TX Austin,Company site + TruckersReport,https://www.1stcommercialcredit.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
american-receivable,American Receivable,https://americanreceivable.com/,TX Dallas area,InvoiceFactoringIndex + company,https://americanreceivable.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
quickpay-funding,Quickpay Funding,https://quickpayfunding.com/,,InvoiceFactoringIndex + company,https://quickpayfunding.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
summar-financial,Summar Financial,https://summar.com/,,InvoiceFactoringIndex + company,https://summar.com/,primary,Summar Shield non-recourse marketing,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
tetra-capital,Tetra Capital,https://tetracapital.com/,,InvoiceFactoringIndex + company,https://tetracapital.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
integrity-factoring,Integrity Factoring,https://www.integrityfactoring.com/,,InvoiceFactoringIndex + company,https://www.integrityfactoring.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
capital-credit,Capital Credit,https://www.capitalcredit.com/,,Company trucking industry page,https://www.capitalcredit.com/industries/trucking-companies,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
freight-factoring-specialists,Freight Factoring Specialists,https://truckingcapital.com/,,Company site,https://truckingcapital.com/,primary,TruckingCapital.com brand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
gulf-coast-business-credit,Gulf Coast Business Credit,https://gulfcoastbc.com/,,Company transportation page,https://gulfcoastbc.com/financial-solutions/industries-we-service/freight-transportation/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
far-west-capital,Far West Capital,https://www.farwestcapital.com/,,Company freight factoring page,https://www.farwestcapital.com/transportation/freight-factoring/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
security-business-capital,Security Business Capital,https://www.mysbcapital.com/,TX,Company transportation page,https://www.mysbcapital.com/industries-we-serve/transportation-factoring/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
big-brother-financial,Big Brother Financial,https://www.bigbrotherfinancial.com/,TX,Company freight factoring page,https://www.bigbrotherfinancial.com/freight-factoring/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
steelhead-finance,Steelhead Finance,https://steelheadfinance.com/,OR Medford,TruckersReport + company,https://steelheadfinance.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
orange-commercial-credit,Orange Commercial Credit,https://www.occfactor.com/,WA Olympia,TruckersReport + company,https://www.occfactor.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
cashway-funding,Cashway Funding,https://www.cashwayfunding.com/,,Dispatched honorable mention + company,https://www.cashwayfunding.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
viva-capital,Viva Capital,https://vivacf.net/,TX El Paso,FreightWaves Checkpoint + company,https://vivacf.net/transportation/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
nationwide-commercial-credit,Nationwide Commercial Credit,https://www.nationwidecommercialcredit.com/,,FreightWaves Checkpoint + company,https://www.nationwidecommercialcredit.com/industries/trucking-freight,primary,aka Nationwide Carrier Pay program,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
chc-factoring,CHC Factoring,https://chcfactoring.com/,,Company site,https://chcfactoring.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
capital-depot,Capital Depot,https://capitaldepot.com/,IL Morton Grove,QuickTransportSolutions directory + company,https://capitaldepot.com/,directory,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
ifxi,IFXI,https://ifxi.com/,,Company freight factoring pages,https://ifxi.com/freight-factoring/,primary,,N,Y,pass,Y,Transparency-pass,Unknown,Unknown,Eligible for All-In $ sort when volume inputs present; public fee schedule known. Composite v2 weights deferred until full fee cells sourced.,,2026-09-16,Scout: feeSchedulePublished=Y (public primary). Do not invent All-In $ here — compute in CE engine.
express-freight-finance,Express Freight Finance,https://expressfreightfinance.com/,,Company site,https://expressfreightfinance.com/factoring-for-carriers/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
vma4,VMA4,https://vma4.com/,,Company factoring page,https://vma4.com/factoring/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
infinite-capital-funding,Infinite Capital Funding,https://icfundingnow.com/,,Company transportation page,https://www.icfundingnow.com/transportation.html,primary,,N,Y,pass,Y,Transparency-pass,Unknown,Unknown,Eligible for All-In $ sort when volume inputs present; public fee schedule known. Composite v2 weights deferred until full fee cells sourced.,,2026-09-16,Scout: feeSchedulePublished=Y (public primary). Do not invent All-In $ here — compute in CE engine.
factorloads,FactorLoads,https://www.factorloads.com/,UT Heber City,QuickTransportSolutions directory + company,https://www.factorloads.com/,directory,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
match-factors,Match Factors,https://www.matchfactors.com/,SC Florence,QuickTransportSolutions + company,https://www.matchfactors.com/,directory,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
g-squared-funding,G Squared Funding,https://gsquaredfunding.com/,GA Marietta,QuickTransportSolutions + company,https://gsquaredfunding.com/,directory,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
commercial-funding,Commercial Funding,https://www.commercialfund.com/,UT Salt Lake City,InvoiceFactoringIndex (as Transfac) + redirect,https://www.commercialfund.com/,primary,Formerly Transfac Capital; transfac.com redirects here,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
fast-ar-funding,Fast A/R Funding,https://www.fastarfunding.com/,CA Calabasas,QuickTransportSolutions + company,https://www.fastarfunding.com/,directory,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
catamount-funding,Catamount Funding,https://catamountfunding.com/,TX Houston,Company freight factoring page,https://catamountfunding.com/factoring-services/freight-factoring/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factortek,FactorTek,https://factortek.com/,FL Miami,Company site,https://factortek.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
integra-funding,Integra Funding Solutions,https://integrafunding.com/,TX Fort Worth,FactoringClub + company,https://integrafunding.com/freight-factoring/,directory,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
routiqo,Routiqo,https://routiqo.com/,,TruckingWay (Matrack Factoring),https://www.truckingway.com/best-factoring-companies/,listicle,Matrack telematics brand expansion into factoring; newer entrant (2025),N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
pathward-crestmark,Pathward Crestmark,https://www.pathward.com/,,TruckingWay (Crestmark),https://www.truckingway.com/best-factoring-companies/,listicle,Crestmark Commercial Finance → Pathward N.A.; bank-backed commercial finance / factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
prestige-capital,Prestige Capital,https://www.prestigecapital.com/,,FactoringClub / general factor serving transportation,https://www.prestigecapital.com/,directory,General commercial factor; markets transportation — verify freight program depth in Phase 2,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
provident-commercial-finance,Provident Commercial Finance,https://getprovidentfunding.com/,TN Chattanooga,FactoringClub + company site,https://getprovidentfunding.com/,primary,Scale Bank division; transportation factoring page,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
accutrac-capital,Accutrac Capital,https://www.abfjournal.com/global-merchant-fund-acquires-accutrac-capital/,,ABF Journal / FreightFinder,https://www.abfjournal.com/global-merchant-fund-acquires-accutrac-capital/,other,Historical trucking factor; acquired — notes=dead-or-redirect for consumer site,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
gateway-commercial-finance,Gateway Commercial Finance,https://gatewaycf.com/,,TruckersReport reviews list + site,https://gatewaycf.com/,listicle,gatewaycommercial.com also resolves,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
bibby-financial-services,Bibby Financial Services,https://www.bibbyfinancialservices.com/,IL Downers Grove area,QuickTransportSolutions (Bibby/FreightCheck),https://www.bibbyfinancialservices.com/,directory,aka FreightCheck heritage in trucking reviews; verify US trucking desk in Phase 2,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
charter-capital,Charter Capital,https://www.chartercapital.com/,TX Houston,QuickTransportSolutions directory,https://www.quicktransportsolutions.com/freight-factoring-companies.php,directory,SSL/access intermittent during census probe; listed as AR factoring incl. transport,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
commercial-capital-llc,Commercial Capital LLC,https://www.quicktransportsolutions.com/freight-factoring-companies.php,FL Miami,QuickTransportSolutions directory,https://www.quicktransportsolutions.com/freight-factoring-companies.php,directory,Phase 2: confirm canonical domain still active; also discovered as New Century Financial; also discovered as American Freight Factors; also discovered as Factor For Now; also discovered as Quick Freight Factors; also discovered as 1st Trucking Factoring; also discovered as Nationwide Transport Finance; also discovered as United California Discount Corporation; also discovered as Global Financial Factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
neal-freeman-investments,Neal Freeman Investments,https://nealfreeman.com/,WA Spanaway,QuickTransportSolutions + site,https://nealfreeman.com/,directory,Transportation factoring since ~2000,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
trucker-funds,TruckerFunds,https://truckerfunds.com/,FL,QuickTransportSolutions + site,https://truckerfunds.com/,directory,Transportation finance division of Anchor Funding Services per directory copy,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
imm-financial,IMM Financial,https://immfinancial.com/,ON Windsor (serves US/Canada),QuickTransportSolutions,https://immfinancial.com/,directory,Cross-border; include cautiously as serving US carriers,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
pay4freight,Pay4Freight,https://pay4freight.com/,TX Lewisville,TruckersReport + QuickTransportSolutions,https://www.thetruckersreport.com/factoring-rates/factoring-companies/,listicle,notes=dead-or-redirect; pay4freight.com redirected to unrelated domain during probe — verify successor URL in Phase 2,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
interstate-capital,Interstate Capital,https://interstatecapital.com/,NM Santa Teresa,InvoiceFactoringIndex + QuickTransportSolutions,https://invoicefactoringindex.com/freight-factoring/companies/,listicle,notes=dead-or-redirect; DNS failure during probe — best historical URL kept,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
